"","track","album_name","artist","release_date","isrc","all_time_rank","track_score","spotify_streams","spotify_playlist_count","spotify_playlist_reach","spotify_popularity","youtube_views","youtube_likes","tiktok_posts","tiktok_likes","tiktok_views","youtube_playlist_reach","apple_music_playlist_count","airplay_spins","deezer_playlist_count","deezer_playlist_reach","amazon_playlist_count","pandora_streams","pandora_track_stations","shazam_counts","explicit_track"
"1","MILLION DOLLAR BABY","Million Dollar Baby - Single","Tommy Richman",2024-04-26,"QM24S2402528","1",725.4,390470936,30716,196631588,92,84274754,1713126,5767700,651565900,5332281936,150597040,210,40975,62,17598718,114,18004655,22931,2669262,FALSE
"2","Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,"USUG12400910","2",545.9,323703884,28113,174597137,92,116347040,3486739,674700,35223547,208339025,156380351,188,40778,67,10422430,111,7780028,28444,1118279,TRUE
"3","i like the way you kiss me","I like the way you kiss me","Artemas",2024-03-19,"QZJ842400387","3",538.4,601309283,54331,211607669,92,122599116,2228730,3025400,275154237,3369120610,373784955,190,74333,136,36321847,172,5022621,5639,5285340,FALSE
"4","Flowers","Flowers - Single","Miley Cyrus",2023-01-12,"USSM12209777","4",444.9,2031280633,269802,136569078,85,1096100899,10629796,7189811,1078757968,14603725994,3351188582,394,1474799,264,24684248,210,190260277,203384,11822942,FALSE
"5","Houdini","Houdini","Eminem",2024-05-31,"USUG12403398","5",423.3,107034922,7223,151469874,88,77373957,3670188,16400,NA,NA,112763851,182,12185,82,17660624,105,4493884,7006,457017,TRUE
"6","Lovin On Me","Lovin On Me","Jack Harlow",2023-11-10,"USAT22311371","6",410.1,670665438,105892,175421034,83,131148091,1392593,4202367,214943489,2938686633,2867222632,138,522042,86,17167254,152,138529362,50982,4517131,TRUE
"7","Beautiful Things","Beautiful Things","Benson Boone",2024-01-18,"USWB12307016","7",407.2,900158751,73118,201585714,86,308723145,4120760,NA,29584940,534915313,4601579812,280,383478,168,48197850,154,65447476,57372,9990302,FALSE
"8","Gata Only","Gata Only","FloyyMenor",2024-02-02,"QZL382406049","8",375.8,675079153,40094,211236940,92,228382568,1439495,3500000,338546668,3804584163,2112581620,160,17221,87,33245595,53,3372428,5762,6063523,TRUE
"9","Danza Kuduro - Cover","-  -","MUSIC LAB JPN",2024-06-09,"TCJPA2463708","9",355.7,1653018119,1,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"10","BAND4BAND (feat. Lil Baby)","BAND4BAND (feat. Lil Baby)","Central Cee",2024-05-23,"USSM12404354","10",330.6,90676573,10400,184199419,86,32735244,988682,325800,121574500,974656200,174706874,191,3823,78,10800098,92,1005626,842,666302,TRUE
"11","I Had Some Help (feat. Morgan Wallen)","I Had Some Help","Post Malone",2024-05-10,"USUM72404990","11",322.1,250080413,16219,168766158,91,32229063,550191,NA,184500,2100000,327130768,157,62312,60,12009073,114,23155471,21172,963413,TRUE
"12","The Door","The Door","Teddy Swims",2024-06-14,"USWB12402486","12",320.2,111155129,2,263767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,TRUE
"13","LUNCH","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,"USUM72401991","13",316.3,221636195,13800,197280692,92,40022524,1307290,195300,45889000,360017000,342107131,244,41344,138,38243636,163,1354692,1219,450344,FALSE
"14","Like That","WE DON'T TRUST YOU","Future",2024-03-22,"USSM12402041","14",308.2,355186436,43025,108168634,88,98081493,1456177,NA,NA,NA,174491415,153,90237,55,3001826,109,26252264,18364,1963314,TRUE
"15","bathroom floor","bathroom floor","Kids With Buns",2022-10-07,"NLC242100307","15",301.6,297185,277,24445,12,6736502312,16785489,3,1088,22234,NA,1,1057,NA,NA,NA,NA,NA,3288,FALSE
"16","LALA","LALA - Single","Myke Towers",2023-03-22,"USWL12300002","16",299.9,925655569,103605,79944921,79,934302031,4294166,11054500,521725116,7499234052,2042145659,94,92231,60,5633435,83,12171026,13242,2765808,TRUE
"17","Fortnight (feat. Post Malone)","THE TORTURED POETS DEPARTMENT","Taylor Swift",2024-04-18,"USUG12401028","17",297.6,395433400,12784,177932568,89,104673836,2484083,139300,25348800,207317000,268893710,221,129968,99,37988531,134,9961769,13437,1210029,FALSE
"18","greedy","greedy","Tate McRae",2023-09-14,"USRC12301932","18",293.7,1258569694,105218,198845580,87,141646818,1514837,2294429,419319161,5456156211,2667285437,207,667329,188,21788568,150,44850379,12270,6973652,TRUE
"19","BLUE","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,"USUM72401996","19",292.6,91272461,6499,52287548,86,16038053,569377,941900,119740900,1225345800,5839168,76,181,24,5054005,33,283089,162,257661,FALSE
"20","As It Was","As It Was","Harry Styles",2022-03-31,"USSM12200612","20",292,3301814535,407119,169783402,87,800899315,9101589,2755903,1633970617,15405881843,7289707052,455,1777811,330,12907852,189,132624772,79909,14967379,FALSE
"21","Paint The Town Red","Paint The Town Red","Doja Cat",2023-08-04,"USRC12300907","21",290.5,1065399331,170890,121712197,78,240970670,2749668,3091732,652428798,7095564106,1063591802,158,400899,143,13718632,146,70291476,49111,7559816,TRUE
"22","Espresso","Espresso","Sabrina Carpenter",2024-04-12,"USUM72403305","22",281.5,547882871,24425,262343414,95,107550212,1825761,209200,169144295,1379499000,422646034,298,37208,167,41414565,149,10362898,10848,1373085,TRUE
"23","Danza Kuduro - Cover","CLUB DE YOKUKIKU YOUGAKU MEDLEY","MUSIC LAB JPN",2024-05-21,"TCJPA2445163","23",279,1655575417,10,655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"24","TEXAS HOLD 'EM","TEXAS HOLD 'EM","Beyonc",2024-02-10,"USSM12401302","24",278.9,426700979,34044,152928632,86,35724356,437980,1470500,485200392,6518604175,1213175656,159,309497,194,40725482,177,13860535,36282,2100708,TRUE
"25","Future","Future","official sound studio",2024-01-10,"RUA1H2415548","25",277.5,NA,1,2,NA,NA,NA,9453333,273236305,4306269694,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"26","Beat Automotivo Tan Tan Tan Viral","Beat Automotivo Tan Tan Tan Viral","WZ Beat",2022-05-24,"BXWEH2200054","26",268.1,7382759,3504,661084,35,4233958,69990,37621885,1636811753,22918660728,NA,1,NA,1,6,1,NA,NA,633525,FALSE
"27","STAY (with Justin Bieber)","STAY (with Justin Bieber)","The Kid LAROI",2021-07-09,"USSM12103949","27",266.3,3107100349,451732,134793519,78,1256973582,14661425,7485966,2246991336,23712377029,4327058646,513,1510151,166,5783693,128,196783487,124922,NA,TRUE
"28","Baby Shark","","Pinkfong",2015-12-01,"KRE671700001","28",265.7,720822868,60945,7530769,71,16322756555,48757673,7743800,281762094,6577639193,2166611,33,284,19,52179,17,86458847,2234137,2064420,FALSE
"29","we can't be friends (wait for your love)","eternal sunshine","Ariana Grande",2024-03-08,"USUM72317276","29",262.8,591068364,26203,197494995,87,156882014,3080503,NA,NA,NA,578568464,194,200230,117,22062193,126,10106573,7689,1579980,FALSE
"30","Numb / Encore","Papercuts","JAY-Z",2024-04-12,"USWB12400678","30",256,1003215671,128,485454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179867721,87209,4474248,TRUE
"31","Danza Kuduro - Cover","","LOVE BGM JPN",2024-05-14,"TCJPA2406007","31",249.8,1645079292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"32","SHEESH","BABYMONS7ER","BABYMONSTER",2024-04-01,"KRA402400016","32",237.5,124893397,3479,25936342,82,359896095,4907193,212500,48327004,390081328,38798822,36,2188,3,347997,26,130743,592,191867,FALSE
"33","Water","Water","Tyla",2023-07-28,"USSM12305126","33",234.6,670376179,98450,150471020,83,265180930,2566846,2114363,369150956,3932956380,3031114430,225,486952,180,19469488,188,40418532,27555,6447136,FALSE
"34","Strangers","Strangers","Kenya Grace",2023-09-01,"USWB12305048","34",233.5,750154960,139141,103879363,79,118208096,1495758,1031447,196985853,2231749390,1745168821,163,378114,113,16295286,112,20228317,5331,7477917,FALSE
"35","Too Sweet","Unreal Unearth: Unheard","Hozier",2024-03-22,"USSM12401865","35",231.6,532012790,23557,67488850,NA,62123098,923733,NA,NA,NA,384716227,221,151990,42,658517,47,31032977,23005,NA,FALSE
"36","What's Love Got to Do with It - 2023 Remaster","What's Love Got to Do with It (30th Anniversary Deluxe Edition)","Tina Turner",2024-04-26,"GBAYE2300351","36",230,479417905,7,1519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,121250721,83632,3692067,FALSE
"37","A Bar Song (Tipsy)","A Bar Song (Tipsy)","Shaboozey",2024-04-12,"USUYG1541249","37",226.4,311928522,25766,180237463,96,62694868,837616,NA,27811667,378313942,243895569,149,NA,58,26516005,146,21453034,30180,1707213,TRUE
"38","Lose Control","Lose Control","Teddy Swims",2023-06-23,"USWB12302315","38",224.1,775135157,88239,180617454,87,139180960,1504385,396560,49060857,597513595,4016801205,215,605841,133,42675181,120,253538985,72429,10517831,FALSE
"39","fukumean","fukumean","Gunna",2023-06-15,"USAT22306575","39",221.1,759998727,188142,80392612,80,94699547,1222012,1237229,311252391,3281790327,140623676,123,265291,40,2225409,88,64456799,20518,3945184,TRUE
"40","Dance Monkey","Dance Monkey","Tones And I",2019-05-10,"QZES71982312","40",214.5,3071214106,375201,64901153,71,3366447481,27240268,10342366,393814740,5861939942,2428166573,549,573733,584,5749770,121,373294159,844198,44842636,FALSE
"41","BIRDS OF A FEATHER","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,"USUM72401994","41",212.8,214237645,10871,202626837,92,11033725,251373,251200,71078500,443104700,148058631,247,3400,67,11523335,125,840442,2592,285858,FALSE
"42","Cupid  Twin Ver. (FIFTY FIFTY)  Spe","Cupid  Twin Ver. (FIFTY FIFTY)  Spe","sped up 8282",2023-04-08,"KRA252300672","42",211.2,170970614,27827,5784546,41,22280037,334523,14348249,948225544,12196985599,NA,2,672,4,35737,9,270610,3170,NA,TRUE
"43","I'm Good (Blue)","I'm Good (Blue)","David Guetta",2022-08-26,"UKWLG2200055","43",209.6,1658229422,262248,239957538,83,466080689,4324989,728093,54258768,1051836430,1425853925,285,935190,207,6479623,168,139926990,31235,10973120,TRUE
"44","Daylight","Daylight","David Kushner",2023-04-14,"QZXDB2300005","44",207,1126820069,177800,85255689,82,274070101,3701289,2557115,285329503,2578518632,1205538057,163,259255,77,3413707,80,28924685,14634,8681350,FALSE
"45","My Love Mine All Mine","The Land Is Inhospitable and So Are We","Mitski",2023-09-15,"USJ5G2335007","45",206.2,997702304,105927,92834002,86,48093111,959175,3648759,857220853,5469808282,298259422,91,36285,63,10874749,110,6151267,9160,2682219,FALSE
"46","Please Please Please","Please Please Please","Sabrina Carpenter",2024-06-06,"USUM72404101","46",205.7,59314441,2572,183043096,83,22374807,1026097,NA,188200,1200000,110446147,199,2359,73,13686074,98,360163,758,47115,TRUE
"47","Houdini","Houdini - Single","Dua Lipa",2023-11-09,"GBAHT2301246","47",205.1,493627071,45300,87874006,80,150571504,1575378,93500,35970610,386610043,3129834452,174,564640,146,28246184,127,25843941,3694,2389957,FALSE
"48","Danza Kuduro - Cover","GEKIATU BEST AGE SONG - CLUB SONG","MUSIC LAB JPN",2024-05-02,"TCJPA2415647","48",204.4,1655575417,9,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"49","If We Ever Broke Up","If We Ever Broke Up","Mae Stephens",2023-02-10,"GBUM72300969","49",203.6,304929492,43923,46133083,69,61986821,921044,13872768,390207653,5684815935,19218089,78,92638,41,3467570,36,7444354,7188,2227494,TRUE
"50","Despacito","Despacito (Featuring Daddy Yankee)","Luis Fonsi",2017-01-13,"USUM71607007","50",203.5,1747093405,178114,49464650,74,9537135721,61799279,799338,78304409,1143297071,569548901,179,121234,145,1977014,118,266603596,2359900,19622551,FALSE
"51","euphoria","euphoria","Kendrick Lamar",2024-04-30,"USUG12402839","51",202.1,168434320,17168,62516401,86,53604746,1846535,NA,NA,NA,174375427,65,6408,20,428378,31,3156727,4843,654482,TRUE
"52","Panda Basi","Panda Basi - EP","Mvua",2023-02-10,"GX3Q92333626","52",200.3,104271,249,8585,25,2457026781,NA,190,36666,393580,NA,NA,12,NA,NA,NA,NA,NA,1881,FALSE
"53","Calm Down (with Selena Gomez)","Calm Down (with Selena Gomez)","Rema",2022-08-25,"NGA3B2214021","53",198,1391688322,163876,130963116,77,902742581,8099187,599,48035,2857920,750030685,316,1107265,112,11937930,146,52073859,41487,3521951,FALSE
"54","Shape of You","Shape of You","Ed Sheeran",2017-01-06,"GBAHS1600463","54",195.1,3909458734,316378,148037882,80,8013997219,45770887,2270315,194420058,2320856331,2294804623,465,402829,512,2710931,115,733565655,651557,1146246,FALSE
"55","Mitu","Mitu - Single","Maian",2023-01-19,"EEUM72300001","55",194.3,55346,42,16861,13,2432265978,8162101,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,200,FALSE
"56","Blinding Lights","Blinding Lights","The Weeknd",2019-11-29,"USUG11904206","56",194,4281468720,590392,165544011,83,833807130,10093211,2882064,337322563,3501177394,2258085924,859,1695240,564,11701129,184,489299762,319634,28994660,FALSE
"57","Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin",2022-12-02,"USUG12208791","57",192.3,1337619917,228295,64806723,80,193982443,2023998,423714,148085419,1268862678,444033037,152,952186,58,2134791,66,77382416,28694,6205060,TRUE
"58","Dona Felicidade","Dona Felicidade","Patati Patat",2024-06-04,"QZNJW2423715","58",190,NA,2,41206,NA,52480069,82092,NA,NA,NA,NA,NA,NA,1,1657,NA,NA,NA,NA,FALSE
"59","Danza Kuduro - Cover","YOUGAKU MORIMORI CLUB MEDLEY","MUSIC LAB JPN",2024-04-29,"TCJPA2420090","59",190,1655575417,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
"60","Unholy (feat. Kim Petras)","Unholy (feat. Kim Petras)","Sam Smith",2022-09-22,"GBUM72205415","60",189.1,1556275789,210583,95974138,74,254051906,3364206,2379787,683088623,7945975878,1524133775,203,718849,63,1616564,167,111398743,71335,10192485,FALSE
"61","Stereo Love - Melodic","Stereo Love Deluxe (feat. Vika Jigulina)","Edward Maya",2024-06-05,"ROCMA2413380","61",187.9,NA,2,135,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420235997,885123,NA,FALSE
"62","Very Cute Melody by Marimba Tone (39813)","Very Cute Melody by Marimba Tone (39813)","mitsu sound",2023-12-31,"RUA1H2406425","62",186.5,1384,2,801,NA,222076,5430,5013500,605320683,8811416708,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
"63","Supernova","Supernova","aespa",2024-05-13,"KRA302400090","63",186.1,69729033,2483,21046278,81,111310770,1724693,56600,61038623,393973528,32059104,40,709,7,544322,14,45515,100,63283,FALSE
"64","Me Porto Bonito","Un Verano Sin Ti","Bad Bunny",2022-05-06,"QM6MZ2214877","64",184.8,1811990630,173358,67603671,79,1516863120,8870768,4506600,549886060,6470937272,934894575,124,77120,44,14871714,63,111324744,39123,3393920,TRUE
"65","Back That Azz Up (feat. Lil Wayne & Mannie Fresh)","400 Degreez (Deluxe Edition)","JUVENILE",2024-03-29,"USCM52400059","65",181.4,199929812,4,98,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,390345308,399793,NA,TRUE
"66","Calm Down","Calm Down","Rema",2022-02-10,"NGA3B2214004","66",180.1,584427088,182994,19203258,68,1141904909,8766235,6129450,856216952,18216656774,2952879912,138,191634,53,3481756,45,98290873,46039,22563407,FALSE
"67","CARNIVAL","CARNIVAL","$",2024-02-08,"QZ7XS2400012","67",179.6,466887055,53842,103935623,84,27688666,449112,NA,NA,NA,33817299,42,53333,11,199915,29,1359484,11303,1982000,TRUE
"68","Kill Bill","SOS","SZA",2022-12-08,"USRC12204584","68",177.7,1873746537,190202,99546318,82,220538045,3153793,266430,152410048,1284413960,426461749,214,655242,73,1304067,122,57350590,61270,4873832,FALSE
"69","What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")","Billie Eilish",2023-07-13,"USUM72307484","69",177.6,891720245,114560,97542546,82,144741616,2761964,1443103,498822693,3998086216,1384310160,168,275119,108,10920686,111,39374594,19921,4476509,FALSE
"70","Babba","Black Book ID's: Chapter 5 - EP","Guy Mac",2023-03-03,"QZA742305720","70",176.2,46567,252,21930,6,2038459981,6076902,NA,NA,NA,NA,2,29,NA,NA,NA,1456,NA,903,FALSE
"71","Heat Waves","Heat Waves","Glass Animals",2020-06-29,"GBUM72000433","71",175,2996181078,486278,112416489,82,1272898075,14947520,1416295,513334446,5518429969,4899313022,459,1414326,170,11862378,95,122247640,160431,17848778,FALSE
"72","In the End","Papercuts","Linkin Park",2024-04-12,"USWB11201322","72",174.8,2045512421,97,488602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,FALSE
"73","Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53","Bizarrap",2023-01-11,"UYB282301031","73",174.3,946941510,100130,74836321,74,776436101,12951756,4210895,797017650,11936401096,457987382,110,165670,106,4971379,92,48806666,10225,2237762,FALSE
"74","The Way We Move - Extended Mix","The Way We Move","PowerDress",2023-03-10,"UKACT2330463","74",173.6,7909,38,15023,4,1999374091,5708577,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,1412,FALSE
"75","Old Town Road","Old Town Road","Lil Nas X",2019-03-14,"USSM11901941","75",170.3,1010494713,127393,18652312,67,3203314695,41487213,5757883,187301054,1981431049,939714925,63,49780,64,397418,100,181784010,2022074,8856633,FALSE
"76","un x100to","un x100to","Grupo Frontera",2023-04-17,"QM6N22311285","76",170.2,1008495696,99381,57394938,75,878892413,4425283,796603,127651887,1669065906,1522934425,101,73481,42,5734172,81,55857743,15528,2283747,FALSE
"77","Laxed  Sire","Laxed (Siren Beat)","Jawsh 685",2020-04-24,"NZAM02001128","77",168.9,NA,10230,1142937,NA,12489728,339414,42900000,919945708,12221514692,NA,NA,NA,NA,NA,NA,5678792,NA,NA,FALSE
"78","Sprinter","Sprinter - Single","Dave",2023-06-01,"GBUM72305159","78",168.1,692512930,199828,55464762,78,219666692,2332307,731797,130560533,1254944697,918145630,155,42082,41,1790031,76,411656,3414,3093667,TRUE
"79","CHIHIRO","HIT ME HARD AND SOFT","Billie Eilish",2024-05-17,"USUM72401988","79",167.8,169410711,11028,144854768,90,19402457,997411,284,NA,NA,260377114,185,1008,53,20737850,59,521322,698,388625,FALSE
"80","TQG","TQG","KAROL G",2023-02-23,"USUM72222541","80",167.8,1024381758,78554,69319589,78,1102289596,8953293,457111,15048444,248168852,1174053183,138,149584,84,8850320,131,68022934,16511,3488226,TRUE
"81","Perfect","(Deluxe)","Ed Sheeran",2017-03-03,"GBAHS1700024","81",167.5,2969999682,280165,116921604,81,6473698897,39632673,6642975,601244764,7647479866,1708317539,208,263386,343,1242581,102,617483078,595052,NA,FALSE
"82","Pepas","Pepas","Farruko",2021-06-24,"USSD12100307","82",167.3,1500499584,359502,125112486,74,1431591689,11553088,2866181,290811371,4067248819,782475986,258,240677,137,4015523,102,120046948,89582,17210946,TRUE
"83","Peekaboo","Glide - Single","Dave Angel",2023-01-27,"GBLTF2300027","83",167.2,8082,63,32758,NA,2055940513,4150967,NA,NA,NA,NA,1,13,NA,NA,NA,NA,NA,442,FALSE
"84","Ella Baila Sola","Ella Baila Sola","Eslabon Armado",2023-03-16,"USE7D2300007","84",166.5,1215336974,129463,39814172,74,701880622,3831236,5416,550073,15373104,546259059,83,40153,24,4946338,61,84378219,53890,3435177,FALSE
"85","Dance The Night - From Barbie The Album","Dance The Night (From Barbie The Album)","Dua Lipa",2023-05-25,"USAT22305457","85",166.2,860026452,74769,139913794,80,173044031,1640319,175536,90924917,1227837850,1205266954,7,759185,82,4067956,NA,64567514,22064,3199636,FALSE
"86","La Bebe - Remix","La Bebe (Remix)","Yng Lvcas",2023-03-17,"MXF152300159","86",164.9,1032225805,94887,74469479,79,920878032,3118229,1031612,116003972,2416141351,1690231413,83,57941,42,3360878,48,55410702,27415,2635577,TRUE
"87","redrum","american dream","21 Savage",2024-01-12,"USSM12309164","87",164.8,428233003,57311,144298748,NA,105148629,1762297,87200,6732800,43993800,977638660,74,102457,48,4037475,60,16802867,11821,2490071,TRUE
"88","Easy On Me","Easy On Me","Adele",2021-10-14,"USSM12105970","88",163.2,1720918065,209635,93875458,73,1194846205,13561925,1912194,733101955,7860224413,6353555150,325,774277,257,5323750,100,203324731,126594,7569155,FALSE
"89","Tit Me Pregu","Un Verano Sin Ti","Bad Bunny",2022-05-06,"QM6MZ2214878","89",163.1,1514239759,190692,77283361,77,1366181141,9358441,1769068,475656543,5249863696,488048337,150,145640,44,5591928,108,69095169,81914,5133847,TRUE
"90","All My Life (feat. J. Cole)","All My Life (feat. J. Cole)","Lil Durk",2023-05-12,"USQX92302957","90",162,333202114,108322,41018697,68,203487345,2084532,928132,63253779,748253884,735908540,148,346411,30,1277729,60,90114807,46789,4207535,TRUE
"91","Anti-Hero","Midnights","Taylor Swift",2022-10-21,"USUG12205736","91",161.8,1563224246,117005,97456780,80,203259285,3482508,1302967,376660493,3864505972,724976542,261,1034319,74,4457357,150,92338994,45974,4703179,FALSE
"92","Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap",2022-07-06,"UYB282201028","92",161.7,1692951462,209490,88591675,78,1132539234,8795731,1212100,196608777,2054826154,56677146,99,138254,58,5211955,65,18052815,5213,6836893,FALSE
"93","Magnetic","SUPER REAL ME","ILLIT",2024-03-25,"USA2P2413259","93",161,255076355,11500,90584540,86,202206901,2596912,NA,57656713,506476590,273521596,67,4716,9,423666,44,220481,1207,659825,FALSE
"94","Lollipop","EVERYBODY GO TO THE DISCOTEK","Darell",2023-07-28,"USSD12300307","94",158.2,275349653,37806,22826643,70,347506860,1553295,4349700,321239621,4767676439,2676837761,19,23875,37,3780737,29,5101044,5276,1245874,TRUE
"95","La Diabla","La Diabla - Single","Xavi",2023-12-02,"USA2P2357356","95",155.9,649404552,27544,47789063,83,433839212,2750086,NA,414833,10603563,1795939912,29,16287,34,16509806,26,22603598,29401,1380069,FALSE
"96","Boy's a Liar Pt. 2","Boy's a liar Pt. 2","PinkPantheress",2023-02-03,"GBAYE2300015","96",153.6,851085705,129047,50996176,70,211810152,2461166,3502547,955272568,8781020473,806434641,162,223173,65,8655684,130,10207007,36847,2580691,TRUE
"97","Snooze","SOS","SZA",2022-12-09,"USRC12204591","97",153.3,1013350808,108036,86470319,84,390677417,2521214,402338,97819766,887803828,560893301,154,559589,60,2707900,61,74611167,85113,3129609,TRUE
"98","BELLAKEO","BELLAKEO","Peso Pluma",2023-12-07,"QMFMF2388143","98",153.1,359803580,26065,79152427,86,369321334,1839225,720800,74164945,874056250,4123457278,40,16952,63,18139662,51,20058510,7289,1002835,TRUE
"99","Agora Hills","Scarlet","Doja Cat",2023-09-22,"USRC12301954","99",152.8,509653100,66219,67521533,NA,48045203,986278,328562,88846508,544437406,1561456615,80,400206,78,9341155,39,23110274,19559,4295361,TRUE
"100","Prada","Prada","cass",2023-08-11,"GBCEN2300147","100",152.5,609699748,128498,160755092,83,47611547,418343,283600,96934486,1090501901,113545664,129,123242,167,15480679,100,1210830,1073,NA,TRUE
"101","Montagem Rave Eterno","Montagem Rave Eterno","Dj Samir",2024-05-02,"GXD7G2413058","101",152.3,5157486,470,2924720,NA,1278618,27849,1100000,261000,3900000,NA,3,NA,2,39366,NA,NA,NA,47658,FALSE
"102","Lil Boo Thang","Lil Boo Thang","Paul Russell",2023-08-18,"USAR12300323","102",152.1,242070373,37170,74130983,76,22907992,261664,2553106,312997953,3832221658,15593731,106,370635,69,1792014,79,84425715,30713,2219984,FALSE
"103","MONACO","nadie sabe lo que va a pasar ma","Bad Bunny",2023-10-13,"QMFME2364182","103",150.7,478150858,73306,51842133,78,113379734,1312763,1700998,182319546,2111289492,90954700,78,35330,56,15784760,53,17823388,12664,2255465,TRUE
"104","Laxed (Siren Beat)","Laxed (Siren Beat)","Jawsh 685",2020-04-24,"USSM12002399","104",150.5,61382407,7240,1708319,43,9977490,201210,37726462,9239474,147837262,NA,15,10152,5,59317,1,NA,NA,3819161,FALSE
"105","(It Goes Like) Nanana - Edit","(It Goes Like) Nanana [Edit]","Peggy Gou",2023-06-15,"GBBKS2300080","105",150.4,460156070,163449,127827271,77,8183226,98257,530103,65920648,1032799567,56004473,NA,195140,102,3034022,111,1132923,1312,9279625,FALSE
"106","Training Season","Training Season","Dua Lipa",2024-02-15,"GBAHT2301078","106",148.9,251153869,16811,92985554,76,66691067,961957,102884,34572688,431390500,2120552147,162,180711,127,33540073,116,10305245,3796,2047771,FALSE
"107","Type Shit","WE DON'T TRUST YOU","Future",2024-03-22,"USSM12402033","107",148.1,205206688,28064,84737651,84,39453253,672789,NA,NA,NA,232440923,99,3432,41,2943724,47,5897303,4527,900933,TRUE
"108","Armageddon","Armageddon - The 1st Album","aespa",2024-05-27,"KRA302400093","108",147.4,32942304,1262,26204483,74,57861795,1257935,NA,NA,NA,29510774,37,290,5,530831,33,21869,48,29736,FALSE
"109","The Box","Please Excuse Me For Being Antisocial","Roddy Ricch",2019-12-06,"USAT21906978","109",146.6,1911559785,317345,87765033,78,441257231,4829633,4930490,561201008,4574447121,2077511,255,296948,138,555650,28,295741432,633414,11988760,TRUE
"110","INDUSTRY BABY (feat. Jack Harlow)","INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2021-07-23,"USSM12104539","110",145.3,2014959725,354831,87942438,70,1003346208,16856186,1750366,915814897,9558947943,3191316960,360,245228,109,3242122,74,75167268,96430,12693846,TRUE
"111","Pedro","Pedro - Single","Jaxomy",2024-03-29,"DEE862400427","111",144.6,168145583,27654,159737263,85,35008949,717214,NA,NA,NA,39149568,107,4448,158,16345999,54,39577,482,2408838,FALSE
"112","Fast Car","Gettin' Old","Luke Combs",2023-03-24,"US6XF2200436","112",144.5,518988585,73116,58391498,80,107703759,768813,354036,74258021,924204888,103658014,117,673629,67,8306302,104,184924061,88890,3108167,FALSE
"113","Bling-Bang-Bang-Born","Bling-Bang-Bang-Born","Creepy Nuts",2024-01-07,"JPU902305042","113",144,247399972,22222,13870528,80,389540239,4392933,NA,22950364,296522040,1041035733,53,807,18,357941,17,537267,1928,1069500,FALSE
"114","Aesthetic","Aesthetic","Tollan Kim",2022-03-04,"SGB502208576","114",144,5712985,2311,535908,44,3120073,56276,20114495,2452502310,33870791454,NA,4,22,4,1397,1,21564,81,249823,FALSE
"115","Sunflower - Spider-Man: Into the Spider-Verse","Sunflower (Spider-Man: Into the Spider-Verse)","Post Malone",2018-10-18,"USUM71814888","116",143.9,3358704125,392082,123917182,79,2763188773,19410390,2714134,178829434,1597453878,484189798,351,273683,86,809352,99,546367356,906813,1569935,FALSE
"116","Hands","Hands","Dian",2022-08-01,"GBKPL2205333","115",143.9,126914,8,212,1,2435813922,7208467,33,188,6415,26630093,NA,658,NA,NA,NA,NA,NA,295,FALSE
"117","Saturn","Saturn - Single","SZA",2024-02-24,"USRC12400216","117",142.8,343090427,21104,154253718,87,38173339,349660,NA,NA,NA,196380893,120,158378,103,10995523,87,11441987,7496,745798,FALSE
